Genres,Genre_count,year
family,7,1970
fantasy,4,1971
action,34,1971
crime,39,1971
drama,136,1971
Sci-Fi,9,1971
adventure,16,1971
comedy,59,1971
thriller,19,1971
musical,5,1971
western,22,1971
romance,18,1971
war,5,1971
horror,12,1971
sport,2,1971
history,5,1971
family,9,1971
fantasy,6,1972
action,40,1972
crime,47,1972
drama,130,1972
Sci-Fi,8,1972
adventure,15,1972
comedy,58,1972
thriller,29,1972
musical,5,1972
western,27,1972
romance,13,1972
war,1,1972
horror,28,1972
sport,3,1972
history,2,1972
family,11,1972
fantasy,8,1973
action,49,1973
crime,65,1973
drama,145,1973
Sci-Fi,11,1973
adventure,18,1973
comedy,55,1973
thriller,30,1973
musical,5,1973
western,17,1973
romance,17,1973
war,1,1973
horror,32,1973
sport,6,1973
history,2,1973
family,10,1973
fantasy,12,1974
action,48,1974
crime,59,1974
drama,116,1974
Sci-Fi,7,1974
adventure,25,1974
comedy,53,1974
thriller,35,1974
musical,6,1974
western,12,1974
romance,24,1974
war,1,1974
horror,21,1974
sport,1,1974
history,3,1974
family,16,1974
fantasy,3,1975
action,36,1975
crime,40,1975
drama,94,1975
Sci-Fi,9,1975
adventure,32,1975
comedy,56,1975
thriller,18,1975
musical,3,1975
western,12,1975
romance,14,1975
war,4,1975
horror,12,1975
sport,3,1975
history,7,1975
family,16,1975
fantasy,4,1976
action,41,1976
crime,44,1976
drama,110,1976
Sci-Fi,8,1976
adventure,21,1976
comedy,53,1976
thriller,25,1976
musical,1,1976
western,21,1976
romance,19,1976
war,1,1976
horror,19,1976
sport,4,1976
history,2,1976
family,20,1976
fantasy,10,1977
action,33,1977
crime,25,1977
drama,100,1977
Sci-Fi,12,1977
adventure,32,1977
comedy,64,1977
thriller,24,1977
musical,4,1977
western,4,1977
romance,16,1977
war,2,1977
horror,18,1977
sport,6,1977
history,3,1977
family,11,1977
fantasy,8,1978
action,33,1978
crime,29,1978
drama,105,1978
Sci-Fi,11,1978
adventure,19,1978
comedy,55,1978
thriller,20,1978
musical,6,1978
western,4,1978
romance,16,1978
war,6,1978
horror,22,1978
sport,7,1978
history,5,1978
family,17,1978
fantasy,2,1979
action,27,1979
crime,24,1979
drama,95,1979
Sci-Fi,10,1979
adventure,22,1979
comedy,66,1979
thriller,16,1979
musical,3,1979
western,9,1979
romance,20,1979
war,3,1979
horror,14,1979
sport,9,1979
history,2,1979
family,11,1979
fantasy,8,1980
action,34,1980
crime,26,1980
drama,96,1980
Sci-Fi,12,1980
adventure,24,1980
comedy,75,1980
thriller,23,1980
musical,3,1980
western,5,1980
romance,24,1980
war,4,1980
horror,19,1980
sport,3,1980
history,3,1980
family,6,1980
fantasy,8,1981
action,31,1981
crime,26,1981
drama,92,1981
Sci-Fi,7,1981
adventure,26,1981
comedy,54,1981
thriller,32,1981
musical,6,1981
western,4,1981
romance,18,1981
war,2,1981
horror,32,1981
sport,4,1981
history,6,1981
family,7,1981
fantasy,13,1982
action,30,1982
crime,28,1982
drama,90,1982
Sci-Fi,16,1982
adventure,25,1982
comedy,62,1982
thriller,22,1982
musical,5,1982
western,6,1982
romance,16,1982
war,4,1982
horror,30,1982
sport,3,1982
history,4,1982
family,11,1982
fantasy,6,1983
action,27,1983
crime,23,1983
drama,115,1983
Sci-Fi,14,1983
adventure,18,1983
comedy,65,1983
thriller,19,1983
musical,6,1983
western,3,1983
romance,24,1983
war,6,1983
horror,19,1983
sport,6,1983
history,1,1983
family,5,1983
fantasy,12,1984
action,44,1984
crime,31,1984
drama,123,1984
Sci-Fi,18,1984
adventure,29,1984
comedy,92,1984
thriller,25,1984
musical,4,1984
western,1,1984
romance,38,1984
war,7,1984
horror,21,1984
sport,3,1984
history,5,1984
family,12,1984
fantasy,20,1985
action,55,1985
crime,39,1985
drama,114,1985
Sci-Fi,16,1985
adventure,42,1985
comedy,102,1985
thriller,23,1985
musical,3,1985
western,2,1985
romance,36,1985
war,7,1985
horror,25,1985
sport,3,1985
history,1,1985
family,20,1985
fantasy,10,1986
action,45,1986
crime,43,1986
drama,113,1986
Sci-Fi,22,1986
adventure,23,1986
comedy,88,1986
thriller,34,1986
musical,6,1986
western,3,1986
romance,31,1986
war,3,1986
horror,32,1986
sport,12,1986
history,2,1986
family,12,1986
fantasy,16,1987
action,38,1987
crime,39,1987
drama,120,1987
Sci-Fi,13,1987
adventure,23,1987
comedy,92,1987
thriller,35,1987
musical,7,1987
western,1,1987
romance,37,1987
war,3,1987
horror,27,1987
sport,1,1987
history,2,1987
family,14,1987
fantasy,13,1988
action,49,1988
crime,33,1988
drama,116,1988
Sci-Fi,12,1988
adventure,14,1988
comedy,81,1988
thriller,37,1988
musical,7,1988
western,2,1988
romance,31,1988
war,9,1988
horror,36,1988
sport,4,1988
history,2,1988
family,7,1988
fantasy,11,1989
action,53,1989
crime,37,1989
drama,111,1989
Sci-Fi,10,1989
adventure,18,1989
comedy,81,1989
thriller,29,1989
musical,1,1989
western,1,1989
romance,24,1989
war,8,1989
horror,37,1989
sport,3,1989
history,6,1989
family,6,1989
fantasy,6,1990
action,43,1990
crime,40,1990
drama,120,1990
Sci-Fi,14,1990
adventure,13,1990
comedy,91,1990
thriller,42,1990
musical,6,1990
western,4,1990
romance,30,1990
war,7,1990
horror,39,1990
sport,6,1990
history,5,1990
family,5,1990
fantasy,12,1991
action,37,1991
crime,36,1991
drama,130,1991
Sci-Fi,12,1991
adventure,17,1991
comedy,91,1991
thriller,33,1991
musical,3,1991
western,3,1991
romance,29,1991
war,3,1991
horror,22,1991
sport,5,1991
history,6,1991
family,9,1991
fantasy,8,1992
action,42,1992
crime,36,1992
drama,109,1992
Sci-Fi,4,1992
adventure,10,1992
comedy,79,1992
thriller,35,1992
musical,1,1992
western,2,1992
romance,31,1992
war,3,1992
horror,15,1992
sport,5,1992
history,0,1992
family,8,1992
fantasy,7,1993
action,34,1993
crime,40,1993
drama,113,1993
Sci-Fi,8,1993
adventure,7,1993
comedy,61,1993
thriller,43,1993
musical,3,1993
western,5,1993
romance,28,1993
war,3,1993
horror,17,1993
sport,1,1993
history,3,1993
family,10,1993
fantasy,10,1994
action,37,1994
crime,34,1994
drama,131,1994
Sci-Fi,4,1994
adventure,15,1994
comedy,68,1994
thriller,43,1994
musical,2,1994
western,4,1994
romance,28,1994
war,3,1994
horror,13,1994
sport,7,1994
history,1,1994
family,14,1994
fantasy,9,1995
action,30,1995
crime,19,1995
drama,101,1995
Sci-Fi,6,1995
adventure,16,1995
comedy,53,1995
thriller,31,1995
musical,3,1995
western,5,1995
romance,31,1995
war,1,1995
horror,11,1995
sport,2,1995
history,0,1995
family,10,1995
fantasy,3,1996
action,26,1996
crime,19,1996
drama,92,1996
Sci-Fi,13,1996
adventure,10,1996
comedy,63,1996
thriller,16,1996
musical,0,1996
western,1,1996
romance,18,1996
war,1,1996
horror,11,1996
sport,2,1996
history,1,1996
family,8,1996
fantasy,5,1997
action,16,1997
crime,9,1997
drama,79,1997
Sci-Fi,9,1997
adventure,6,1997
comedy,72,1997
thriller,15,1997
musical,0,1997
western,0,1997
romance,20,1997
war,0,1997
horror,13,1997
sport,3,1997
history,1,1997
family,4,1997
fantasy,1,1998
action,17,1998
crime,9,1998
drama,92,1998
Sci-Fi,2,1998
adventure,9,1998
comedy,68,1998
thriller,16,1998
musical,2,1998
western,0,1998
romance,22,1998
war,0,1998
horror,6,1998
sport,0,1998
history,2,1998
family,4,1998
fantasy,3,1999
action,13,1999
crime,10,1999
drama,77,1999
Sci-Fi,6,1999
adventure,7,1999
comedy,66,1999
thriller,14,1999
musical,0,1999
western,1,1999
romance,15,1999
war,0,1999
horror,15,1999
sport,0,1999
history,1,1999
family,7,1999
fantasy,3,2000
action,16,2000
crime,11,2000
drama,82,2000
Sci-Fi,6,2000
adventure,4,2000
comedy,69,2000
thriller,22,2000
musical,2,2000
western,0,2000
romance,19,2000
war,0,2000
horror,10,2000
sport,1,2000
history,0,2000
family,8,2000
fantasy,3,2001
action,14,2001
crime,13,2001
drama,79,2001
Sci-Fi,10,2001
adventure,5,2001
comedy,74,2001
thriller,13,2001
musical,1,2001
western,1,2001
romance,18,2001
war,1,2001
horror,11,2001
sport,0,2001
history,1,2001
family,6,2001
fantasy,8,2002
action,24,2002
crime,11,2002
drama,95,2002
Sci-Fi,11,2002
adventure,11,2002
comedy,66,2002
thriller,21,2002
musical,4,2002
western,1,2002
romance,12,2002
war,2,2002
horror,14,2002
sport,0,2002
history,0,2002
family,8,2002
fantasy,4,2003
action,22,2003
crime,16,2003
drama,114,2003
Sci-Fi,10,2003
adventure,10,2003
comedy,79,2003
thriller,24,2003
musical,0,2003
western,2,2003
romance,12,2003
war,5,2003
horror,10,2003
sport,0,2003
history,1,2003
family,6,2003
fantasy,5,2004
action,14,2004
crime,15,2004
drama,123,2004
Sci-Fi,7,2004
adventure,7,2004
comedy,83,2004
thriller,29,2004
musical,2,2004
western,2,2004
romance,12,2004
war,4,2004
horror,12,2004
sport,2,2004
history,1,2004
family,3,2004
fantasy,7,2005
action,18,2005
crime,13,2005
drama,102,2005
Sci-Fi,5,2005
adventure,5,2005
comedy,92,2005
thriller,27,2005
musical,1,2005
western,1,2005
romance,13,2005
war,0,2005
horror,20,2005
sport,3,2005
history,0,2005
family,2,2005
fantasy,4,2006
action,11,2006
crime,11,2006
drama,126,2006
Sci-Fi,5,2006
adventure,5,2006
comedy,80,2006
thriller,19,2006
musical,4,2006
western,1,2006
romance,10,2006
war,2,2006
horror,11,2006
sport,1,2006
history,1,2006
family,7,2006
fantasy,4,2007
action,13,2007
crime,10,2007
drama,106,2007
Sci-Fi,16,2007
adventure,7,2007
comedy,90,2007
thriller,19,2007
musical,2,2007
western,0,2007
romance,22,2007
war,3,2007
horror,27,2007
sport,3,2007
history,1,2007
family,4,2007
fantasy,8,2008
action,18,2008
crime,15,2008
drama,103,2008
Sci-Fi,11,2008
adventure,7,2008
comedy,82,2008
thriller,24,2008
musical,2,2008
western,2,2008
romance,16,2008
war,2,2008
horror,30,2008
sport,1,2008
history,1,2008
family,5,2008
fantasy,14,2009
action,21,2009
crime,12,2009
drama,110,2009
Sci-Fi,9,2009
adventure,7,2009
comedy,89,2009
thriller,16,2009
musical,3,2009
western,2,2009
romance,18,2009
war,4,2009
horror,27,2009
sport,3,2009
history,2,2009
family,11,2009
fantasy,15,2010
action,34,2010
crime,16,2010
drama,112,2010
Sci-Fi,9,2010
adventure,15,2010
comedy,92,2010
thriller,30,2010
musical,3,2010
western,2,2010
romance,28,2010
war,0,2010
horror,24,2010
sport,0,2010
history,4,2010
family,10,2010
fantasy,12,2011
action,25,2011
crime,19,2011
drama,107,2011
Sci-Fi,11,2011
adventure,19,2011
comedy,87,2011
thriller,36,2011
musical,1,2011
western,0,2011
romance,20,2011
war,1,2011
horror,46,2011
sport,4,2011
history,1,2011
family,9,2011
fantasy,11,2012
action,25,2012
crime,27,2012
drama,120,2012
Sci-Fi,7,2012
adventure,13,2012
comedy,83,2012
thriller,32,2012
musical,5,2012
western,0,2012
romance,18,2012
war,2,2012
horror,47,2012
sport,5,2012
history,3,2012
family,8,2012
fantasy,10,2013
action,19,2013
crime,9,2013
drama,124,2013
Sci-Fi,14,2013
adventure,11,2013
comedy,86,2013
thriller,39,2013
musical,5,2013
western,2,2013
romance,21,2013
war,1,2013
horror,44,2013
sport,2,2013
history,0,2013
family,19,2013
fantasy,13,2014
action,24,2014
crime,12,2014
drama,117,2014
Sci-Fi,14,2014
adventure,14,2014
comedy,88,2014
thriller,37,2014
musical,2,2014
western,3,2014
romance,18,2014
war,0,2014
horror,42,2014
sport,2,2014
history,2,2014
family,13,2014
fantasy,15,2015
action,26,2015
crime,19,2015
drama,128,2015
Sci-Fi,9,2015
adventure,11,2015
comedy,83,2015
thriller,33,2015
musical,3,2015
western,1,2015
romance,24,2015
war,1,2015
horror,38,2015
sport,1,2015
history,4,2015
family,7,2015
fantasy,9,2016
action,33,2016
crime,26,2016
drama,120,2016
Sci-Fi,7,2016
adventure,14,2016
comedy,66,2016
thriller,40,2016
musical,2,2016
western,1,2016
romance,12,2016
war,1,2016
horror,43,2016
sport,3,2016
history,4,2016
family,5,2016
fantasy,12,2017
action,29,2017
crime,21,2017
drama,124,2017
Sci-Fi,12,2017
adventure,15,2017
comedy,54,2017
thriller,34,2017
musical,3,2017
western,1,2017
romance,8,2017
war,0,2017
horror,42,2017
sport,1,2017
history,0,2017
family,6,2017
fantasy,7,2018
action,16,2018
crime,17,2018
drama,105,2018
Sci-Fi,9,2018
adventure,13,2018
comedy,85,2018
thriller,28,2018
musical,3,2018
western,2,2018
romance,18,2018
war,4,2018
horror,32,2018
sport,1,2018
history,1,2018
family,11,2018
fantasy,3,2019
action,17,2019
crime,21,2019
drama,124,2019
Sci-Fi,11,2019
adventure,11,2019
comedy,64,2019
thriller,32,2019
musical,4,2019
western,2,2019
romance,14,2019
war,1,2019
horror,43,2019
sport,2,2019
history,1,2019
family,7,2019
